"DATE","TIME PERIOD","Monetary aggregate M1 reported by MFIs, central gov. and post office giro institutions in the euro area (transactions) (BSI.M.U2.N.V.M10.X.4.U2.2300.Z01.E)"
"2012-06-30","2012Jun","74316"
"2012-07-31","2012Jul","22742"
"2012-08-31","2012Aug","1791"
"2012-09-30","2012Sep","47200"
"2012-10-31","2012Oct","34070"
"2012-11-30","2012Nov","35362"
"2012-12-31","2012Dec","81945"
"2013-01-31","2013Jan","-53865"
"2013-02-28","2013Feb","4802"
"2013-03-31","2013Mar","46902"
"2013-04-30","2013Apr","73672"
"2013-05-31","2013May","25737"
"2013-06-30","2013Jun","45468"
"2013-07-31","2013Jul","-8511"
"2013-08-31","2013Aug","24899"
"2013-09-30","2013Sep","23498"
"2013-10-31","2013Oct","38474"
"2013-11-30","2013Nov","46653"
"2013-12-31","2013Dec","14151"
"2014-01-31","2014Jan","-36625"
"2014-02-28","2014Feb","12127"
"2014-03-31","2014Mar","32745"
"2014-04-30","2014Apr","38365"
"2014-05-31","2014May","54782"
"2014-06-30","2014Jun","44563"
"2014-07-31","2014Jul","10209"
"2014-08-31","2014Aug","34614"
"2014-09-30","2014Sep","33304"
"2014-10-31","2014Oct","38305"
"2014-11-30","2014Nov","100414"
"2014-12-31","2014Dec","52645"
"2015-01-31","2015Jan","34877"
"2015-02-28","2015Feb","28680"
"2015-03-31","2015Mar","50799"
"2015-04-30","2015Apr","91837"
"2015-05-31","2015May","94657"
"2015-06-30","2015Jun","63466"
"2015-07-31","2015Jul","43098"
"2015-08-31","2015Aug","13204"
"2015-09-30","2015Sep","23231"
"2015-10-31","2015Oct","82937"
"2015-11-30","2015Nov","58515"
"2015-12-31","2015Dec","44175"
"2016-01-31","2016Jan","36269"
"2016-02-29","2016Feb","21658"
"2016-03-31","2016Mar","42599"
"2016-04-30","2016Apr","92550"
"2016-05-31","2016May","47375"
"2016-06-30","2016Jun","34676"
"2016-07-31","2016Jul","66949"
"2016-08-31","2016Aug","-5062"
"2016-09-30","2016Sep","23656"
"2016-10-31","2016Oct","50349"
"2016-11-30","2016Nov","95280"
"2016-12-31","2016Dec","89786"
"2017-01-31","2017Jan","-6408"
"2017-02-28","2017Feb","31219"
"2017-03-31","2017Mar","93031"
"2017-04-30","2017Apr","101916"
"2017-05-31","2017May","41947"
"2017-06-30","2017Jun","82660"
"2017-07-31","2017Jul","35756"
"2017-08-31","2017Aug","33708"
"2017-09-30","2017Sep","44189"
"2017-10-31","2017Oct","25747"
"2017-11-30","2017Nov","80024"
"2017-12-31","2017Dec","69749"
"2018-01-31","2018Jan","-20168"
"2018-02-28","2018Feb","5589"
"2018-03-31","2018Mar","64146"
"2018-04-30","2018Apr","51191"
"2018-05-31","2018May","99196"
"2018-06-30","2018Jun","89235"
"2018-07-31","2018Jul","-5423"
"2018-08-31","2018Aug","17"
"2018-09-30","2018Sep","68087"
"2018-10-31","2018Oct","8333"
"2018-11-30","2018Nov","95955"
"2018-12-31","2018Dec","50603"
